index,Barrio,BARRIOS_HECHO,lat,lon
148,"Urbanizacion campo madrid, Bucaramanga, Colombia",URBANIZACION CAMPO MADRID,7.12551689, -73.11826324
149,"Canelos, Bucaramanga, Colombia",CANELOS,7.12551689, -73.11826324
150,"Quebrada la iglesia, Bucaramanga, Colombia",QUEBRADA LA IGLESIA,7.09408712, -73.11691284
151,"Balconcitos, Bucaramanga, Colombia",BALCONCITOS,7.12551689, -73.11826324
152,"El retiro, Bucaramanga, Colombia",EL RETIRO,7.12551689, -73.11826324
153,"Africa, Bucaramanga, Colombia",ÃFRICA,5.98786497, -74.32931519
154,"Candiles, Bucaramanga, Colombia",CANDILES,7.12551689, -73.11826324
155,"Altos del progreso, Bucaramanga, Colombia",ALTOS DEL PROGRESO,7.12551689, -73.11826324
156,"Vijagual, Bucaramanga, Colombia",VIJAGUAL,7.12551689, -73.11826324
157,"Granjas de julio rincon, Bucaramanga, Colombia",GRANJAS DE JULIO RINCÃ“N,7.12551689, -73.11826324
158,"Chorreras don juan, Bucaramanga, Colombia",CHORRERAS DON JUAN,7.12551689, -73.11826324
159,"Nueva colombia, Bucaramanga, Colombia",NUEVA COLOMBIA,7.12551689, -73.11826324
160,"Napoles, Bucaramanga, Colombia",NÃPOLES,5.35872698, -73.95357513
161,"Buenavista, Bucaramanga, Colombia",BUENAVISTA,7.12551689, -73.11826324
162,"Vegas de morrorico, Bucaramanga, Colombia",VEGAS DE MORRORICO,7.13701344, -73.10729218
163,"Esperanza iii, Bucaramanga, Colombia",ESPERANZA III,7.12551689, -73.11826324
164,"Villa maria iii, Bucaramanga, Colombia",VILLA MARÃA III,7.12551689, -73.11826324
165,"Lizcano i, Bucaramanga, Colombia",LIZCANO I,7.12551689, -73.11826324
166,"Paisajes del norte, Bucaramanga, Colombia",PAISAJES DEL NORTE,7.1560154, -73.13822937
167,"Villa alicia, Bucaramanga, Colombia",VILLA ALICIA,7.4698348, -73.58966064
168,"Lizcano ii, Bucaramanga, Colombia",LIZCANO II,7.12551689, -73.11826324
169,"El rosal, Bucaramanga, Colombia",EL ROSAL,7.12551689, -73.11826324
170,"Asentamiento 5 de enero, Bucaramanga, Colombia",ASENTAMIENTO 5 DE ENERO,7.12551689, -73.11826324
171,"Quinta estrella, Bucaramanga, Colombia",QUINTA ESTRELLA,7.12551689, -73.11826324
172,"Angelinos, Bucaramanga, Colombia",ANGELINOS,7.12551689, -73.11826324
173,"Inv. los corrales, Bucaramanga, Colombia",INV. LOS CORRALES,7.12551689, -73.11826324
174,"La estrella, Bucaramanga, Colombia",LA ESTRELLA,7.12551689, -73.11826324
175,"Las casitas, Bucaramanga, Colombia",LAS CASITAS,7.12551689, -73.11826324
176,"Urbanizacion villa romero, Bucaramanga, Colombia",Urbanizacion VILLA ROMERO,7.12551689, -73.11826324
177,"Balcones del sur, Bucaramanga, Colombia",BALCONES DEL SUR,18.95025635, -98.23471069
178,"Asentamiento cervunion, Bucaramanga, Colombia",ASENTAMIENTO CERVUNIÃ“N,7.12551689, -73.11826324
179,"Jardines de alta gracia, Bucaramanga, Colombia",JARDINES DE ALTA GRACIA,7.12551689, -73.11826324
180,"Asentamiento mirador del norte, Bucaramanga, Colombia",ASENTAMIENTO MIRADOR DEL NORTE,7.12551689, -73.11826324
181,"El uvo, Bucaramanga, Colombia",EL UVO,7.12551689, -73.11826324
182,"San luis, Bucaramanga, Colombia",SAN LUIS,7.65246344, -73.21920013
183,"Rincon de paz (17 de enero y 12 de febrero), Bucaramanga, Colombia",RINCÃ“N DE PAZ (17 DE ENERO Y 12 DE FEBRERO),7.12551689, -73.11826324
184,"Antiguo campestre, Bucaramanga, Colombia",ANTIGUO CAMPESTRE,7.12551689, -73.11826324
185,"Cordoncillo ii, Bucaramanga, Colombia",CORDONCILLO II,7.12551689, -73.11826324
186,"Altos del cacique, Bucaramanga, Colombia",ALTOS DEL CACIQUE,7.12551689, -73.11826324
187,"Limoncito, Bucaramanga, Colombia",LIMONCITO,7.12551689, -73.11826324
188,"10 de mayo santa barbara, Bucaramanga, Colombia",10 DE MAYO SANTA BÃRBARA,7.12551689, -73.11826324
189,"Vda. rio de oro, Bucaramanga, Colombia",VDA. RIO DE ORO,7.12551689, -73.11826324
190,"Monterredondo, Bucaramanga, Colombia",MONTERREDONDO,7.12551689, -73.11826324
191,"San pedrito, Bucaramanga, Colombia",SAN PEDRITO,7.12551689, -73.11826324
192,"Milagro de dios, Bucaramanga, Colombia",MILAGRO DE DIOS,7.12551689, -73.11826324
193,"Miradores de la uis, Bucaramanga, Colombia",MIRADORES DE LA UIS,7.12551689, -73.11826324
194,"Terminal de transportes, Bucaramanga, Colombia",TERMINAL DE TRANSPORTES,7.12551689, -73.11826324
195,"La gran ladera, Bucaramanga, Colombia",LA GRAN LADERA,7.12551689, -73.11826324
196,"Manzanares, Bucaramanga, Colombia",MANZANARES,7.61175489, -72.58522797
197,"Los guayacanes, Bucaramanga, Colombia",LOS GUAYACANES,7.12551689, -73.11826324
198,"Omaga 2, Bucaramanga, Colombia",OMAGÃ 2,7.12551689, -73.11826324
199,"Brisas del paraiso, Bucaramanga, Colombia",BRISAS DEL PARAÃSO,7.12551689, -73.11826324
200,"Guaduales, Bucaramanga, Colombia",GUADUALES,7.12551689, -73.11826324
201,"Urbanizacion el sol ii, Bucaramanga, Colombia",Urbanizacion EL SOL II,7.12551689, -73.11826324
202,"San ignacio, Bucaramanga, Colombia",SAN IGNACIO,7.4739275, -72.76261902
203,"La rosita, Bucaramanga, Colombia",LA ROSITA,7.12551689, -73.11826324
204,"Cacique imperial, Bucaramanga, Colombia",CACIQUE IMPERIAL,7.12551689, -73.11826324
205,"Porto fino, Bucaramanga, Colombia",PORTO FINO,7.12551689, -73.11826324
206,"San valentin, Bucaramanga, Colombia",SAN VALENTÃN,7.12551689, -73.11826324
207,"Urbanizacion los almendros, Bucaramanga, Colombia",Urbanizacion LOS ALMENDROS,7.12551689, -73.11826324
208,"Puerto rico, Bucaramanga, Colombia",PUERTO RICO,7.15280581, -73.46907043
209,"Zona industrial, Bucaramanga, Colombia",ZONA INDUSTRIAL,7.12551689, -73.11826324
210,"Rosa blanca, Bucaramanga, Colombia",ROSA BLANCA,7.12551689, -73.11826324
